id,casenumber,date,block,iucr,primarytype,description,locationdescription,arrest,domestic,beat,district,ward,communityarea,fbicode,xcoordinate,ycoordinate,year,updatedon,latitude,longitude,location
10270987,HY459090,10/12/2015 01:00:00 PM,062XX S PAULINA ST,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,714,7,15,67,08A,1166079,1863350,2015,10/19/2015 03:58:42 PM,41.780609,-87.666672,"(41.780610591, -87.666670573)"
10270894,HY459007,10/12/2015 12:40:00 PM,002XX N AUSTIN BLVD,0560,ASSAULT,SIMPLE,RESIDENCE-GARAGE,false,false,1512,15,29,25,08A,1136341,1901012,2015,10/19/2015 03:58:42 PM,41.884541,-87.774803,"(41.884542011, -87.774799533)"
10270901,HY458882,10/12/2015 11:05:00 AM,065XX S RHODES AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,false,321,3,20,42,04A,1181024,1861835,2015,10/19/2015 03:58:42 PM,41.776123,-87.611923,"(41.776122269, -87.611926444)"
10270821,HY458858,10/12/2015 10:44:00 AM,032XX S HAMLIN AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,true,true,1031,10,22,30,04A,1151553,1882912,2015,10/19/2015 03:58:42 PM,41.834587,-87.719414,"(41.834588207, -87.719413719)"
10270824,HY458873,10/12/2015 10:30:00 AM,032XX N CICERO AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1634,16,30,15,08A,1143808,1921022,2015,10/19/2015 03:58:42 PM,41.939316,-87.74688,"(41.939314951, -87.746876909)"
10270750,HY458799,10/12/2015 09:58:00 AM,0000X W ELM ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1824,18,42,8,08A,1175427,1908076,2015,10/19/2015 03:58:42 PM,41.903137,-87.631058,"(41.903138237, -87.631058463)"
10271042,HY459165,10/12/2015 09:15:00 AM,013XX S KOMENSKY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,1011,10,24,29,08A,1149594,1893562,2015,10/19/2015 03:58:42 PM,41.86385,-87.726326,"(41.863851348, -87.72632567)"
10271094,HY458815,10/12/2015 09:00:00 AM,083XX S STEWART AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,DEPARTMENT STORE,false,false,622,6,21,44,08A,1175078,1849610,2015,10/19/2015 03:58:42 PM,41.74271,-87.634087,"(41.742710224, -87.634088181)"
10270749,HY458777,10/12/2015 09:00:00 AM,076XX S DREXEL AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,false,false,624,6,8,69,04A,1183553,1854637,2015,10/19/2015 03:58:42 PM,41.756313,-87.602882,"(41.756311669, -87.602879511)"
10270724,HY458770,10/12/2015 09:00:00 AM,010XX N LAMON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1531,15,37,25,08A,1143501,1906635,2015,10/19/2015 03:58:42 PM,41.899841,-87.748367,"(41.899841292, -87.748365913)"
10272898,HY460255,10/12/2015 08:12:00 AM,040XX S STATE ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,213,2,3,38,08A,1176946,1878201,2015,10/19/2015 03:58:42 PM,41.821125,-87.626381,"(41.821125041, -87.626382551)"
10271158,HY459392,10/12/2015 05:30:00 AM,032XX N OZARK AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,false,1631,16,36,17,04A,1123860,1920556,2015,10/19/2015 03:58:42 PM,41.938389,-87.820206,"(41.93838726, -87.820203117)"
10270624,HY458613,10/12/2015 04:00:00 AM,029XX N RUTHERFORD AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,true,false,2511,25,36,18,08A,1130909,1918883,2015,10/19/2015 03:58:42 PM,41.933678,-87.794334,"(41.933677647, -87.794334576)"
10270632,HY458616,10/12/2015 03:55:00 AM,021XX S LAWNDALE AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,1014,10,24,29,08A,1152040,1889399,2015,10/19/2015 03:58:42 PM,41.852379,-87.717453,"(41.852379778, -87.717456079)"
10270644,HY458609,10/12/2015 03:21:00 AM,065XX S GREEN ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,RESIDENCE,true,false,723,7,20,68,08A,1171762,1861481,2015,10/19/2015 03:58:42 PM,41.77536,-87.645889,"(41.775359043, -87.645890468)"
10270614,HY458600,10/12/2015 03:15:00 AM,027XX W 15TH PL,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,HOSPITAL BUILDING/GROUNDS,false,false,1023,10,28,29,08A,1158277,1892276,2015,10/19/2015 03:58:42 PM,41.860149,-87.694489,"(41.860149538, -87.694485803)"
10270623,HY458584,10/12/2015 02:18:00 AM,050XX W JACKSON BLVD,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,true,true,1533,15,28,25,04A,1142510,1898193,2015,10/19/2015 03:58:42 PM,41.876694,-87.752213,"(41.876693912, -87.752215904)"
10270601,HY458537,10/12/2015 12:39:00 AM,053XX S MAY ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENTIAL YARD (FRONT/BACK),true,false,934,9,16,61,04A,1169557,1869451,2015,10/19/2015 03:58:42 PM,41.797279,-87.65374,"(41.797277742, -87.653742794)"
10271026,HY459136,10/12/2015 12:30:00 AM,036XX W CORTLAND ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,2535,25,26,22,04A,1151613,1912376,2015,10/19/2015 03:58:42 PM,41.91544,-87.718422,"(41.91543949, -87.718419027)"
10270613,HY458561,10/11/2015 11:49:00 PM,079XX S RIDGELAND AVE,0560,ASSAULT,SIMPLE,RESIDENCE,true,true,414,4,8,46,08A,1189361,1852632,2015,10/18/2015 03:53:35 PM,41.750671,-87.581657,"(41.750672474, -87.581658886)"
10270575,HY458464,10/11/2015 11:06:00 PM,114XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2211,22,19,74,08A,1157067,1828980,2015,10/18/2015 03:53:35 PM,41.686481,-87.700638,"(41.686480509, -87.700636705)"
